cluster_id,cluster_size,n_records,n_pro,n_con,first_seen,last_seen,time_span_minutes,support_n,evidence_tier,primary_explanation,secondary_explanation,score,is_low_power,caveat_flags,evidence_kinds,score_primary_driver,score_detector_breakdown,score_signal_breakdown
cluster_0069,2,10,0,10,2025-03-27T09:29:00-07:00,2025-03-31T10:31:00-07:00,5822.0,10,watch,potential_manipulation,none,0.37857142857142856,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0069:heuristic (100.0%)
cluster_0269,2,2,0,2,2025-03-31T07:56:00-07:00,2025-03-31T07:57:00-07:00,1.0,2,watch,potential_manipulation,none,0.37843253968253965,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0269:heuristic (100.0%)
cluster_0381,2,2,0,2,2025-03-29T22:43:00-07:00,2025-03-29T22:45:00-07:00,2.0,2,watch,potential_manipulation,none,0.3782936507936508,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0381:heuristic (100.0%)
cluster_0180,2,2,0,2,2025-03-31T12:09:00-07:00,2025-03-31T12:12:00-07:00,3.0,2,watch,potential_manipulation,none,0.3781547619047619,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0180:heuristic (100.0%)
cluster_0341,2,2,0,2,2025-03-28T13:59:00-07:00,2025-03-28T14:02:00-07:00,3.0,2,watch,potential_manipulation,none,0.3781547619047619,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0341:heuristic (100.0%)
cluster_0163,2,2,0,2,2025-03-30T18:19:00-07:00,2025-03-30T18:24:00-07:00,5.0,2,watch,potential_manipulation,none,0.3778769841269841,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0163:heuristic (100.0%)
cluster_0174,2,2,0,2,2025-03-31T14:32:00-07:00,2025-03-31T14:46:00-07:00,14.0,2,watch,potential_manipulation,none,0.37662698412698414,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0174:heuristic (100.0%)
cluster_0178,2,2,0,2,2025-03-31T08:04:00-07:00,2025-03-31T08:24:00-07:00,20.0,2,watch,potential_manipulation,none,0.3757936507936508,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0178:heuristic (100.0%)
cluster_0466,2,2,0,2,2025-03-30T11:52:00-07:00,2025-03-30T12:12:00-07:00,20.0,2,watch,potential_manipulation,none,0.3757936507936508,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0466:heuristic (100.0%)
cluster_0413,2,2,0,2,2025-03-31T07:54:00-07:00,2025-03-31T08:20:00-07:00,26.0,2,watch,potential_manipulation,none,0.37496031746031744,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0413:heuristic (100.0%)
cluster_0140,2,2,0,2,2025-03-31T14:11:00-07:00,2025-03-31T14:40:00-07:00,29.0,2,watch,potential_manipulation,none,0.37454365079365076,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0140:heuristic (100.0%)
cluster_0371,2,2,0,2,2025-03-31T07:32:00-07:00,2025-03-31T08:03:00-07:00,31.0,2,watch,potential_manipulation,none,0.374265873015873,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0371:heuristic (100.0%)
cluster_0247,2,2,0,2,2025-03-30T23:10:00-07:00,2025-03-30T23:45:00-07:00,35.0,2,watch,potential_manipulation,none,0.37371031746031746,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0247:heuristic (100.0%)
cluster_0090,2,2,0,2,2025-03-29T19:24:00-07:00,2025-03-29T20:02:00-07:00,38.0,2,watch,potential_manipulation,none,0.3732936507936508,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0090:heuristic (100.0%)
cluster_0374,2,2,0,2,2025-03-31T13:16:00-07:00,2025-03-31T14:02:00-07:00,46.0,2,watch,potential_manipulation,none,0.37218253968253967,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0374:heuristic (100.0%)
cluster_0389,2,2,0,2,2025-03-30T21:44:00-07:00,2025-03-30T22:30:00-07:00,46.0,2,watch,potential_manipulation,none,0.37218253968253967,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0389:heuristic (100.0%)
cluster_0296,2,2,0,2,2025-03-31T13:00:00-07:00,2025-03-31T13:51:00-07:00,51.0,2,watch,potential_manipulation,none,0.37148809523809523,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0296:heuristic (100.0%)
cluster_0336,2,2,0,2,2025-03-31T11:24:00-07:00,2025-03-31T12:33:00-07:00,69.0,2,watch,potential_manipulation,none,0.3689880952380952,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0336:heuristic (100.0%)
cluster_0367,2,2,0,2,2025-03-31T07:44:00-07:00,2025-03-31T08:56:00-07:00,72.0,2,watch,potential_manipulation,none,0.36857142857142855,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0367:heuristic (100.0%)
cluster_0153,2,2,0,2,2025-03-30T20:03:00-07:00,2025-03-30T21:19:00-07:00,76.0,2,watch,potential_manipulation,none,0.368015873015873,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0153:heuristic (100.0%)
cluster_0035,3,7,1,6,2025-03-28T13:57:00-07:00,2025-03-31T05:10:00-07:00,3793.0,7,watch,potential_manipulation,none,0.3678571428571428,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0035:heuristic (100.0%)
cluster_0044,3,7,0,7,2025-03-28T08:35:00-07:00,2025-03-31T10:10:00-07:00,4415.0,7,watch,potential_manipulation,none,0.3678571428571428,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0044:heuristic (100.0%)
cluster_0228,2,2,0,2,2025-03-31T11:32:00-07:00,2025-03-31T12:57:00-07:00,85.0,2,watch,potential_manipulation,none,0.366765873015873,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0228:heuristic (100.0%)
cluster_0242,2,2,0,2,2025-03-31T13:11:00-07:00,2025-03-31T14:36:00-07:00,85.0,2,watch,potential_manipulation,none,0.366765873015873,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0242:heuristic (100.0%)
cluster_0350,2,2,0,2,2025-03-31T09:05:00-07:00,2025-03-31T10:37:00-07:00,92.0,2,watch,potential_manipulation,none,0.3657936507936508,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0350:heuristic (100.0%)
cluster_0305,2,2,0,2,2025-03-31T12:48:00-07:00,2025-03-31T14:25:00-07:00,97.0,2,watch,potential_manipulation,none,0.36509920634920634,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0305:heuristic (100.0%)
cluster_0098,2,3,0,3,2025-03-31T07:59:00-07:00,2025-03-31T12:37:00-07:00,278.0,3,watch,potential_manipulation,none,0.3649603174603175,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0098:heuristic (100.0%)
cluster_0422,2,3,0,3,2025-03-30T14:07:00-07:00,2025-03-30T18:49:00-07:00,282.0,3,watch,potential_manipulation,none,0.3644047619047619,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0422:heuristic (100.0%)
cluster_0177,2,2,0,2,2025-03-31T12:14:00-07:00,2025-03-31T13:56:00-07:00,102.0,2,watch,potential_manipulation,none,0.3644047619047619,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0177:heuristic (100.0%)
cluster_0265,2,2,0,2,2025-03-31T13:01:00-07:00,2025-03-31T14:44:00-07:00,103.0,2,watch,potential_manipulation,none,0.364265873015873,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0265:heuristic (100.0%)
cluster_0125,2,2,1,1,2025-03-31T11:35:00-07:00,2025-03-31T13:20:00-07:00,105.0,2,watch,potential_manipulation,none,0.3639880952380952,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0125:heuristic (100.0%)
cluster_0332,2,2,0,2,2025-03-29T19:20:00-07:00,2025-03-29T21:07:00-07:00,107.0,2,watch,potential_manipulation,none,0.36371031746031746,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0332:heuristic (100.0%)
cluster_0319,2,2,0,2,2025-03-30T14:24:00-07:00,2025-03-30T16:23:00-07:00,119.0,2,watch,potential_manipulation,none,0.36204365079365075,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0319:heuristic (100.0%)
cluster_0313,2,2,0,2,2025-03-30T14:33:00-07:00,2025-03-30T16:33:00-07:00,120.0,2,watch,potential_manipulation,none,0.3619047619047619,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0313:heuristic (100.0%)
cluster_0079,2,2,0,2,2025-03-31T12:05:00-07:00,2025-03-31T14:23:00-07:00,138.0,2,watch,potential_manipulation,none,0.3594047619047619,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0079:heuristic (100.0%)
cluster_0036,3,3,0,3,2025-03-30T21:14:00-07:00,2025-03-31T10:25:00-07:00,791.0,3,watch,potential_manipulation,none,0.35799603174603173,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0036:heuristic (100.0%)
cluster_0324,2,2,0,2,2025-03-30T20:01:00-07:00,2025-03-30T22:30:00-07:00,149.0,2,watch,potential_manipulation,none,0.3578769841269841,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0324:heuristic (100.0%)
cluster_0010,4,4,0,4,2025-03-28T08:02:00-07:00,2025-03-31T11:08:00-07:00,4506.0,4,watch,potential_manipulation,none,0.3571428571428571,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0010:heuristic (100.0%)
cluster_0366,2,2,0,2,2025-03-31T12:22:00-07:00,2025-03-31T14:57:00-07:00,155.0,2,watch,potential_manipulation,none,0.3570436507936508,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0366:heuristic (100.0%)
cluster_0065,2,2,0,2,2025-03-30T11:46:00-07:00,2025-03-30T14:24:00-07:00,158.0,2,watch,potential_manipulation,none,0.3566269841269841,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0065:heuristic (100.0%)
cluster_0186,2,2,0,2,2025-03-28T08:45:00-07:00,2025-03-28T11:24:00-07:00,159.0,2,watch,potential_manipulation,none,0.3564880952380952,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0186:heuristic (100.0%)
cluster_0382,2,2,0,2,2025-03-30T10:48:00-07:00,2025-03-30T13:50:00-07:00,182.0,2,watch,potential_manipulation,none,0.35329365079365077,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0382:heuristic (100.0%)
cluster_0254,2,2,0,2,2025-03-31T10:10:00-07:00,2025-03-31T13:18:00-07:00,188.0,2,watch,potential_manipulation,none,0.3524603174603175,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0254:heuristic (100.0%)
cluster_0176,2,3,0,3,2025-03-31T07:45:00-07:00,2025-03-31T13:57:00-07:00,372.0,3,watch,potential_manipulation,none,0.35190476190476194,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0176:heuristic (100.0%)
cluster_0322,2,2,0,2,2025-03-31T09:40:00-07:00,2025-03-31T12:57:00-07:00,197.0,2,watch,potential_manipulation,none,0.35121031746031744,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0322:heuristic (100.0%)
cluster_0400,2,3,0,3,2025-03-30T13:53:00-07:00,2025-03-30T20:16:00-07:00,383.0,3,watch,potential_manipulation,none,0.35037698412698415,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0400:heuristic (100.0%)
cluster_0280,2,2,0,2,2025-03-30T08:36:00-07:00,2025-03-30T11:59:00-07:00,203.0,2,watch,potential_manipulation,none,0.3503769841269841,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0280:heuristic (100.0%)
cluster_0077,2,2,0,2,2025-03-31T10:17:00-07:00,2025-03-31T13:41:00-07:00,204.0,2,watch,potential_manipulation,none,0.35023809523809524,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0077:heuristic (100.0%)
cluster_0215,2,2,0,2,2025-03-29T08:57:00-07:00,2025-03-29T12:24:00-07:00,207.0,2,watch,potential_manipulation,none,0.34982142857142856,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0215:heuristic (100.0%)
cluster_0053,2,2,0,2,2025-03-31T08:29:00-07:00,2025-03-31T12:32:00-07:00,243.0,2,watch,potential_manipulation,none,0.34482142857142856,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0053:heuristic (100.0%)
cluster_0046,3,4,1,3,2025-03-30T00:57:00-07:00,2025-03-30T18:44:00-07:00,1067.0,4,watch,potential_manipulation,none,0.34466269841269837,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0046:heuristic (100.0%)
cluster_0270,2,2,0,2,2025-03-28T08:15:00-07:00,2025-03-28T12:28:00-07:00,253.0,2,watch,potential_manipulation,none,0.3434325396825397,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0270:heuristic (100.0%)
cluster_0226,2,2,0,2,2025-03-30T15:31:00-07:00,2025-03-30T19:48:00-07:00,257.0,2,watch,potential_manipulation,none,0.3428769841269841,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0226:heuristic (100.0%)
cluster_0015,3,6,1,5,2025-03-28T14:47:00-07:00,2025-03-31T12:58:00-07:00,4211.0,6,watch,potential_manipulation,none,0.34285714285714286,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0015:heuristic (100.0%)
cluster_0067,2,2,1,1,2025-03-31T06:01:00-07:00,2025-03-31T10:22:00-07:00,261.0,2,watch,potential_manipulation,none,0.34232142857142855,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0067:heuristic (100.0%)
cluster_0123,2,2,0,2,2025-03-30T12:50:00-07:00,2025-03-30T17:12:00-07:00,262.0,2,watch,potential_manipulation,none,0.34218253968253964,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0123:heuristic (100.0%)
cluster_0465,2,2,0,2,2025-03-30T15:03:00-07:00,2025-03-30T19:26:00-07:00,263.0,2,watch,potential_manipulation,none,0.3420436507936508,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0465:heuristic (100.0%)
cluster_0022,3,3,0,3,2025-03-30T19:11:00-07:00,2025-03-31T10:21:00-07:00,910.0,3,watch,potential_manipulation,none,0.341468253968254,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0022:heuristic (100.0%)
cluster_0282,2,3,0,3,2025-03-31T06:58:00-07:00,2025-03-31T14:30:00-07:00,452.0,3,watch,potential_manipulation,none,0.34079365079365076,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0282:heuristic (100.0%)
cluster_0360,2,2,0,2,2025-03-31T07:45:00-07:00,2025-03-31T12:18:00-07:00,273.0,2,watch,potential_manipulation,none,0.3406547619047619,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0360:heuristic (100.0%)
cluster_0230,2,2,0,2,2025-03-31T09:18:00-07:00,2025-03-31T14:41:00-07:00,323.0,2,watch,potential_manipulation,none,0.33371031746031743,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0230:heuristic (100.0%)
cluster_0346,2,2,0,2,2025-03-31T08:53:00-07:00,2025-03-31T14:24:00-07:00,331.0,2,watch,potential_manipulation,none,0.33259920634920637,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0346:heuristic (100.0%)
cluster_0303,2,2,0,2,2025-03-31T08:33:00-07:00,2025-03-31T14:09:00-07:00,336.0,2,watch,potential_manipulation,none,0.33190476190476187,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0303:heuristic (100.0%)
cluster_0288,2,2,0,2,2025-03-28T09:04:00-07:00,2025-03-28T14:42:00-07:00,338.0,2,watch,potential_manipulation,none,0.3316269841269841,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0288:heuristic (100.0%)
cluster_0187,2,2,0,2,2025-03-31T08:59:00-07:00,2025-03-31T14:39:00-07:00,340.0,2,watch,potential_manipulation,none,0.33134920634920634,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0187:heuristic (100.0%)
cluster_0311,2,2,0,2,2025-03-31T04:15:00-07:00,2025-03-31T10:03:00-07:00,348.0,2,watch,potential_manipulation,none,0.3302380952380952,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0311:heuristic (100.0%)
cluster_0425,2,2,0,2,2025-03-28T12:52:00-07:00,2025-03-28T18:42:00-07:00,350.0,2,watch,potential_manipulation,none,0.32996031746031745,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0425:heuristic (100.0%)
cluster_0124,2,8,0,8,2025-03-27T08:07:00-07:00,2025-03-31T14:36:00-07:00,6149.0,8,watch,potential_manipulation,none,0.3285714285714285,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0124:heuristic (100.0%)
